private_domain,category,rationale
decipherinc.com,content_site,"Decipher (Forsta/FocusVision) hosted-survey platform; panelists take surveys on its pages; HA-measured 2022, dead to probe today"
microsoftonline.com,cdn_api_host,"Microsoft login/SSO endpoint (login.microsoftonline.com); no user-facing homepage by design; DDG-listed, owner Microsoft"
yougov.com,content_site,"YouGov's own survey site (the panel vendor); live, substantive title"
sentry.io,cdn_api_host,"Sentry error-reporting ingest API (Functional Software); appears in logs via SDK calls, not deliberate visits; DDG-listed"
pch.com,content_site,"Publishers Clearing House sweepstakes site; live, recognizable brand"
fbcdnx14.net,cdn_api_host,"Fake-CDN-style numbered hostname now redirecting to SQUID news app; in-app content-delivery host, not a destination site"
surveyjunkie.com,content_site,"Survey Junkie paid-survey site; live, recognizable brand"
eggbuddies.com,content_site,"Live site titled Egg Buddies; user-facing"
fandom.com,content_site,"Fandom wiki network; 403 bot wall today (Just a moment...) - alive and user-facing"
google.com.mx,content_site,"Google Mexico country homepage; redirects to google.com"
authoritytrcker.com,adtech_infrastructure,"Unambiguous click-tracking name morphology (trcker); 7.5k visits yet dead, never HA-measured - redirect-hop pattern"
impactcdn.com,adtech_infrastructure,"Impact affiliate/partnership-marketing tracking CDN; DDG-listed, owner Impact"
trysera.com,adtech_infrastructure,"Site Email Retargeting Advantage per live and WB-2022 titles; retargeting vendor; DDG-listed"
gunmemorial.org,content_site,"National Gun Violence Memorial; live, substantive title"
minutemedia-prebid.com,adtech_infrastructure,"Minute Media prebid (header-bidding) endpoint; unambiguous name; DDG-listed"
nypost.com,content_site,"New York Post; live, recognizable brand"
quizzclub.com,content_site,"Trivia/quiz site; live, substantive title"
aaxads.com,adtech_infrastructure,"Acceptable Ads Exchange (DDG owner); ad-serving domain, dead today"
opinionationzone.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; name uninformative"
dynoflow.net,unknown,"404 today, HA-measured in 2022 but no title/WB/DDG evidence of function"
everyonesez.com,content_site,"Live opinion/review site (Welcome to EveryoneSez)"
sawtoothsoftware.com,content_site,"Sawtooth Software market-research software company site; live"
eu-1-id5-sync.com,adtech_infrastructure,"ID5 cookie-sync endpoint; unambiguous -sync name; DDG-listed"
musio.co,content_site,"Musio AI robot companion product site; HA-measured 2022, dead to probe today"
realtor.com,content_site,"Realtor.com listings portal; 429 rate-limit today = bot defense; DDG listing reflects Move Inc trackers"
get663.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; opaque promo-style name"
wayfair.com,content_site,"Wayfair retail; bot wall today (Access denied, 429)"
ps-di.com,content_site,"Resolves to is.ps-di.com titled Paradigm (care-management company); corporate/service site"
insights-today.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing"
enginesurveys.com,dead,"Dead today; no WB capture, not HA-measured, no DDG listing; suggestive survey-lander name uncorroborated"
protonmail.com,content_site,"Proton Mail; legacy domain redirects to proton.me (same operation rebrand)"
chess.com,content_site,"Chess.com game site; live; original failure was scraper-side network error"
ttvnw.net,cdn_api_host,"Twitch video/CDN domain (ttvnw = TwitchTV network); DDG-listed, owner Amazon; no homepage by design"
pushnetwork.com,adtech_infrastructure,"Push-notification ad network; unambiguous name; dead today"
roku.com,content_site,"Roku; live, recognizable brand"
neet.tv,unknown,"404 today; no WB capture, not HA-measured, no DDG listing; anime-sounding name uncorroborated"
ibanking-services.com,cdn_api_host,"Fiserv white-label online-banking application host serving bank/CU clients; no homepage by design; dead to probe today"
cdnwidget.com,adtech_infrastructure,"DDG-listed with Obscure Ownership / Unknown High Risk Behavior categories; tracking-widget CDN; dead today"
wmcdp.io,adtech_infrastructure,"Warner Bros. Discovery customer-data-platform (CDP) collection endpoint; DDG-listed"
pineconeresearch.com,content_site,"Pinecone Research (Nielsen) survey-panel site; HA-measured 2022, dead to probe today"
discoveryplus.com,content_site,"discovery+ streaming; live"
instiengage.com,adtech_infrastructure,"Insticator engagement/ad widget endpoint; DDG-listed; dead today"
gap.com,content_site,"Gap retail; live; WB-2022 title confirms"
bathandbodyworks.com,content_site,"Bath & Body Works retail; bot wall today (Access denied)"
ibotta.com,content_site,"Ibotta cashback service; live"
b4k.co,content_site,"4chan board archive (arch.b4k.co); live, user-facing"
prmutv.co,adtech_infrastructure,"Permutive publisher audience/CDP endpoint; DDG-listed, owner Permutive; dead today"
mygiftcardsplus.com,content_site,"Gift-card cashback shop; live, substantive title"
tophatter.com,content_site,"Tophatter auction/shopping site (defunct); HA-measured 2022; recognizable brand"
samsung.com,content_site,"Samsung; live; DDG listing reflects Samsung trackers, but sampled domain is the main retail/brand site"
ozone.ai,unknown,"Parked-style page today (Future home of ozone.ai); HA-measured 2022 but function then not evidenced"
ghostery.net,cdn_api_host,"Ghostery secondary/CDN domain (main site ghostery.com); CloudFront error today; DDG-listed"
wgntv.com,content_site,"WGN Chicago TV news; bot wall today (Access denied)"
ipinfo.io,cdn_api_host,"IPinfo IP-geolocation API; appears in logs via API lookups; DDG-listed; corporate homepage secondary to API function"
